cve_id,splits,gold_categories,description,source_rows
CVE-2020-5421,train,Exploitation for Privilege Escalation; Browser Session Hijacking; Exploitation for Credential Access; User Execution; Exploitation for Client Execution,"In Spring Framework versions 5.2.0 - 5.2.8, 5.1.0 - 5.1.17, 5.0.0 - 5.0.18, 4.3.0 - 4.3.28, and older unsupported versions, the protections against RFD attacks from CVE-2015-5211 may be bypassed depending on the browser used through the use of a jsessionid path parameter","[{""split"": ""train"", ""row"": 0}]"
CVE-2020-28035,train,Exploitation for Privilege Escalation,WordPress before 5.5.2 allows attackers to gain privileges via XML-RPC,"[{""split"": ""train"", ""row"": 1}]"
CVE-2014-2523,train,Process Injection; Endpoint Denial of Service; Exploitation for Client Execution,"net/netfilter/nf_conntrack_proto_dccp.c in the Linux kernel through 3.13.6 uses a DCCP header pointer incorrectly, which allows remote attackers to cause a denial of service (system crash) or possibly execute arbitrary code via a DCCP packet that triggers a call to the (1) dccp_new, (2) dccp_packet, or (3) dccp_error function","[{""split"": ""train"", ""row"": 2}]"
CVE-2021-44223,train,Data Manipulation; Exploitation for Client Execution,WordPress before 5.8 lacks support for the Update URI plugin header. This makes it easier for remote attackers to execute arbitrary code via a supply-chain attack against WordPress installations that use any plugin for which the slug satisfies the naming constraints of the WordPress.org Plugin Directory but is not yet present in that directory,"[{""split"": ""train"", ""row"": 3}]"
CVE-2022-22965,train; test,Process Injection; Command and Scripting Interpreter; Exploit Public-Facing Application,"A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote code execution (RCE) via data binding. The specific exploit requires the application to run on Tomcat as a WAR deployment. If the application is deployed as a Spring Boot executable jar, i.e. the default, it is not vulnerable to the exploit. However, the nature of the vulnerability is more general, and there may be other ways to exploit it.","[{""split"": ""train"", ""row"": 4}, {""split"": ""test"", ""row"": 149}]"
CVE-2011-4106,train,Command and Scripting Interpreter; Server Software Component; Exploitation for Client Execution; Exploit Public-Facing Application,"TimThumb (timthumb.php) before 2.0 does not validate the entire source with the domain white list, which allows remote attackers to upload and execute arbitrary code via a URL containing a white-listed domain in the src parameter, then accessing it via a direct request to the file in the cache directory, as exploited in the wild in August 2011.","[{""split"": ""train"", ""row"": 5}, {""split"": ""train"", ""row"": 974}]"
CVE-2016-0800,train,Exploitation for Credential Access; Adversary-in-the-Middle; Unsecured Credentials; Valid Accounts,"The SSLv2 protocol, as used in OpenSSL before 1.0.1s and 1.0.2 before 1.0.2g and other products, requires a server to send a ServerVerify message before establishing that a client possesses certain plaintext RSA data, which makes it easier for remote attackers to decrypt TLS ciphertext data by leveraging a Bleichenbacher RSA padding oracle, aka a ""DROWN"" attack","[{""split"": ""train"", ""row"": 6}]"
CVE-2014-3566,train,Adversary-in-the-Middle,"The SSL protocol 3.0, as used in OpenSSL through 1.0.1i and other products, uses nondeterministic CBC padding, which makes it easier for man-in-the-middle attackers to obtain cleartext data via a padding-oracle attack, aka the ""POODLE"" issue.","[{""split"": ""train"", ""row"": 7}, {""split"": ""train"", ""row"": 1262}]"
CVE-2014-0160,train,Process Injection; Hijack Execution Flow; Archive Collected Data; Unsecured Credentials; Exploitation for Client Execution; Exploit Public-Facing Application,"The (1) TLS and (2) DTLS implementations in OpenSSL 1.0.1 before 1.0.1g do not properly handle Heartbeat Extension packets, which allows remote attackers to obtain sensitive information from process memory via crafted packets that trigger a buffer over-read, as demonstrated by reading private keys, related to d1_both.c and t1_lib.c, aka the Heartbleed bug","[{""split"": ""train"", ""row"": 8}]"
CVE-2015-8787,train,External Remote Services; Endpoint Denial of Service,"The nf_nat_redirect_ipv4 function in net/netfilter/nf_nat_redirect.c in the Linux kernel before 4.4 allows remote attackers to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact by sending certain IPv4 packets to an incompletely configured interface, a related issue to CVE-2003-1604","[{""split"": ""train"", ""row"": 9}]"
